ID,Cubiks.Time,Cubiks.Raw,Cubiks.Ptile,Group
cand_30,24,5,7,CrowdFlower 2
cand_62,25,8,19,CrowdFlower 4
cand_81,24,6,10,CrowdFlower 4
cand_79,25,8,19,CrowdFlower 4
cand_24,24,10,30,CrowdFlower 2
cand_93,23,16,64,CrowdFlower 4
cand_7,23,6,10,Pearson College
cand_19,22,11,36,CrowdFlower 1
cand_55,25,7,15,CrowdFlower 3
cand_94,15,22,89,CrowdFlower 4
cand_37,24,9,24,CrowdFlower 2
cand_61,25,14,53,CrowdFlower 4
cand_52,19,26,97,CrowdFlower 3
cand_35,23,19,79,CrowdFlower 2
cand_15,21,9,24,CrowdFlower 1
cand_73,23,10,30,CrowdFlower 4
cand_33,25,10,30,CrowdFlower 2
cand_64,22,8,19,CrowdFlower 4
cand_82,25,5,7,CrowdFlower 4
cand_9,25,7,15,Pearson College
cand_10,24,20,83,Pearson College
cand_68,19,12,41,CrowdFlower 4
cand_2,25,3,2,Pearson College
cand_28,25,9,24,CrowdFlower 2
cand_5,24,8,19,Pearson College
cand_89,11,10,30,CrowdFlower 4
cand_88,24,18,74,CrowdFlower 4
cand_80,25,12,41,CrowdFlower 4
cand_47,17,8,19,CrowdFlower 3
cand_38,25,7,15,CrowdFlower 2
cand_67,24,13,47,CrowdFlower 4
cand_65,24,11,36,CrowdFlower 4
cand_6,24,12,41,Pearson College
cand_77,25,19,79,CrowdFlower 4
cand_27,14,21,87,CrowdFlower 2
cand_87,24,13,47,CrowdFlower 4
cand_58,22,7,15,CrowdFlower 3
cand_8,25,7,15,Pearson College
cand_59,25,8,19,CrowdFlower 3
cand_91,24,25,96,CrowdFlower 4
cand_32,24,4,4,CrowdFlower 2
cand_41,23,10,30,CrowdFlower 3
cand_49,25,10,30,CrowdFlower 3
cand_51,24,20,83,CrowdFlower 3
cand_20,24,14,53,CrowdFlower 1
cand_66,23,12,41,CrowdFlower 4
cand_36,15,9,24,CrowdFlower 2
cand_18,24,25,96,CrowdFlower 1
cand_96,1,4,4,CrowdFlower 4
cand_83,24,10,30,CrowdFlower 4
cand_56,24,15,59,CrowdFlower 3
cand_46,25,14,53,CrowdFlower 3
cand_74,19,25,96,CrowdFlower 4
cand_53,22,12,41,CrowdFlower 3
cand_86,17,6,10,CrowdFlower 4
cand_11,25,16,64,CrowdFlower 1
cand_75,25,10,30,CrowdFlower 4
cand_34,24,18,74,CrowdFlower 2
cand_50,20,11,36,CrowdFlower 3
cand_1,24,3,2,Pearson College
cand_23,18,21,87,CrowdFlower 2
cand_90,21,13,47,CrowdFlower 4
cand_22,20,10,30,CrowdFlower 2
cand_26,21,22,89,CrowdFlower 2
cand_3,17,14,53,Pearson College
cand_60,19,11,36,CrowdFlower 3
cand_14,5,5,7,CrowdFlower 1
cand_44,19,21,87,CrowdFlower 3
cand_63,24,14,53,CrowdFlower 4
cand_4,25,19,79,Pearson College
cand_31,24,9,24,CrowdFlower 2
cand_84,21,22,89,CrowdFlower 4
cand_25,20,27,99,CrowdFlower 2
cand_42,25,17,69,CrowdFlower 3
cand_29,13,9,24,CrowdFlower 2
cand_48,22,8,19,CrowdFlower 3
cand_12,24,14,53,CrowdFlower 1
cand_76,24,13,47,CrowdFlower 4
cand_40,17,24,94,CrowdFlower 3
cand_57,24,16,64,CrowdFlower 3
cand_13,19,14,53,CrowdFlower 1
cand_21,23,6,10,CrowdFlower 2
cand_54,24,15,59,CrowdFlower 3
cand_92,25,19,79,CrowdFlower 4
cand_39,20,11,36,CrowdFlower 3
cand_70,25,26,97,CrowdFlower 4
cand_16,7,3,2,CrowdFlower 1
cand_17,24,18,74,CrowdFlower 1
cand_43,25,14,53,CrowdFlower 3
