"ID","EndTime","Sex","Is.English.your.primary.language.","Ethnic.group","Other.ethnic.group","Age..Range.in.years.","What.is.your.religion.","Other.religion","Do.you.consider.yourself.to.have.a.disability..If.yes..please.select.from.the.options.which.best.describes.your.disability...br...Please.note..The.information.you.provide.here.may.not.be.shared.with.the.organisation.that.asked.you.to.take.the.test..If.you.wish.them.to.be.aware.of.your.disability.you.should.contact.them.directly.","Country.of.birth","Other.country.of.birth","PD_Education","PD_JobTitle","PD_Occupation","PD_Reason","PD_Tenure","TimeTaken","wgcta.d.theta.score","wgcta.e.theta.score","wgcta.norm.group","wgcta.other.num.answered","wgcta.other.s1.num.answered","wgcta.other.s1.raw.score","wgcta.other.s2.num.answered","wgcta.other.s2.raw.score","wgcta.other.s3.num.answered","wgcta.other.s3.raw.score","wgcta.other.s4.num.answered","wgcta.other.s4.raw.score","wgcta.other.s5.num.answered","wgcta.other.s5.raw.score","wgcta.percentile","wgcta.r.theta.score","wgcta.raw.score","wgcta.retest.completion.status","wgcta.retest.status","wgcta.retest.surveyuser.id","wgcta.t.score","wgcta.theta.score","wgcta.verification.theta"
19792,"2014-07-25 00:12:15","Male","Yes","White - Irish","","50-54 years","Prefer not to say","","No","Ireland","","Master Degree","CTO","Prefer not to say","As an applicant for a job outside of my current organisation","3 to 4 years",1523,0.40411,0.37198,"UK General Population",40,5,4,12,11,5,3,6,4,12,10,84,0.99573,32,,,,60,0.756,
45752,"2015-09-06 23:03:10","Female","Yes","White - British","","25-29 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Underwiter","Other","As an applicant for a job outside of my current organisation","3 to 4 years",1753,0.62657,-0.18728,"UK General Population",40,5,3,12,9,5,4,6,6,12,6,66,0.14019,28,,,,54,0.21748,
11920,"2012-09-28 17:23:41","Female","Yes","White - British","","50-54 years","Jewish","","Disability, special need or medical condition not listed above","United Kingdom","","Master Degree","Clerk of the Committee on Standards and Privileges","Other","As an applicant for a job outside of my current organisation","21 to 25 years",1790,1.73545,1.64375,"UK General Population",40,5,5,12,10,5,3,6,6,12,11,100,0.77797,35,,,,75,1.93906,
27994,"2015-03-23 18:58:13","Male","","White - British","","50-54 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","","","Master Degree","Head of Corporate Security","Consultant","As an applicant for a job outside of my current organisation","8 to 10 years",1801,0.57092,-0.06522,"Managers",40,5,2,12,12,5,4,6,6,12,6,78,1.35449,30,,,,58,0.73479,
26686,"2014-12-02 15:54:01","Female","No","Asian or Asian British - Chinese","","20-24 years","No religion","","No","China","","Master Degree","Zurich Graduate Programme ","Student","As an applicant for a job outside of my current organisation","1 to 2 years",1790,0.97106,0.20527,"Graduates",40,5,4,12,11,5,5,6,4,12,8,84,1.09041,32,,,,59,1.04539,
38600,"2014-09-06 12:38:35","Male","Yes","White - British","","25-29 years","No religion","","No","United Kingdom","","LLB","Senior Associate","Financial Analyst","As an applicant for a job in my current organisation","3 to 4 years",1282,0.65769,0.38721,"Managers",40,5,4,12,3,5,5,6,3,12,8,13,-1.35198,23,,,,38,-0.85276,
93,"2011-08-04 09:00:25","Female","No","White - Any other White Background","","25-29 years","No religion","","No","Netherlands","","Prefer not to say","Executive Assistant","Prefer not to say","As an applicant for a job in my current organisation","Prefer not to say",1792,0.40701,-0.64188,"UK General Population",40,5,2,12,10,5,5,6,4,12,5,76,0.65325,26,,,,57,0.39248,
16664,"2013-03-21 09:35:05","Male","Yes","White - British","","30-34 years","No religion","","No","England","","GCSE equivalent","Senior Investigation Officer/Intelligence Manager","Other","As an applicant for a job outside of my current organisation","5 to 7 years",1576,-0.36669,-0.28299,"UK General Population",40,5,2,12,7,5,3,6,3,12,7,38,-0.3766,22,,,,47,-0.39024,
10842,"2012-11-12 10:36:39","Female","No","White - Any other White Background","","20-24 years","Prefer not to say","","No","Prefer not to say","","Prefer not to say","Student Learning Assistant","Prefer not to say","As an applicant for a job outside of my current organisation","Prefer not to say",1405,0.12781,-0.91192,"Graduates",40,5,4,12,5,5,3,6,4,12,6,17,-0.71762,22,,,,40,-0.60269,
55014,"2016-01-31 19:18:27","Female","Yes","White - British","","25-29 years","No religion","","No","United Kingdom","","BSc","Student Money Assistant","Administrative/Clerical","As an applicant for a job outside of my current organisation","1 to 2 years",1744,0.16518,-0.87627,"Graduates",40,5,2,12,6,5,3,6,4,12,4,22,-0.48825,19,,,,42,-0.47511,
9527,"2012-11-15 14:41:00","Female","Yes","Mixed - White and Black Caribbean","","20-24 years","Christian (including Church of England, Catholic, Protestant and all other Christian denominations)","","No","United Kingdom","","A-Level Scottish Highers or equivalent","Student","Student","As an applicant for a job outside of my current organisation","3 to 4 years",1124,1.05436,0.45029,"Graduates",40,5,5,12,10,5,5,6,3,12,8,67,0.12257,31,,,,55,0.599,
30584,"2014-03-26 14:04:48","Male","Yes","White - British","","40-44 years","No religion","","No","United Kingdom","","BEng","MI Business Partner","Consultant","For professional development","8 to 10 years",1306,-0.41722,-0.84552,"UK General Population",40,5,2,12,2,5,3,6,3,12,4,1,-1.95673,14,,,,25,-1.75771,
17437,"2013-03-08 11:44:32","Male","Yes","White - British","","30-34 years","No religion","","No","United Kingdom","","Master Degree","Occupational Psychologist","Human Resource Professional","As an applicant for a job outside of my current organisation","8 to 10 years",1800,0.92606,0.73968,"Public Sector Managers",40,5,5,12,11,5,4,6,3,12,9,90,0.95404,32,,,,62,1.18176,
